Vendite	Scontrini	Vendite.1	Scontrini.1	Vendite.2	Scontrini.2	Vendite.3	Scontrini.3	Vendite.4	Scontrini.4	Vendite.5	Scontrini.5	Giorno	day	month	year	newdate
7339.36	836.0	9424.94	919.0			2504.62	466.0	6254.87	757.0				9	4	2017	2017-04-09
3665.99	493.0	6522.81	718.0			2380.30	664.0	4032.92	633.0				10	4	2017	2017-04-10
4556.86	599.0	5574.45	609.0			2483.23	645.0	4475.61	618.0				11	4	2017	2017-04-11
7260.64	892.0	7791.88	875.0			3045.21	780.0	4894.14	679.0				12	4	2017	2017-04-12
6205.05	747.0	8716.08	908.0			3127.15	706.0	5950.70	770.0				13	4	2017	2017-04-13
7302.64	878.0	8399.09	928.0			2660.78	666.0	6084.01	816.0				14	4	2017	2017-04-14
10307.11	1322.0	10165.87	1069.0			3503.40	756.0	7084.22	917.0				15	4	2017	2017-04-15
3270.03	395.0	5326.99	565.0					3003.85	345.0				16	4	2017	2017-04-16
6814.09	768.0	8875.07	839.0					5386.79	717.0				17	4	2017	2017-04-17
5097.56	635.0	7331.78	758.0			3034.19	679.0	4337.66	624.0				18	4	2017	2017-04-18
4466.01	540.0	6091.46	672.0			2882.53	699.0	4948.21	643.0				19	4	2017	2017-04-19
4266.33	587.0	7303.23	740.0			2449.01	642.0	5133.27	734.0				20	4	2017	2017-04-20
5834.42	779.0	9668.11	1070.0			2902.88	708.0	7184.64	934.0				21	4	2017	2017-04-21
10483.15	1305.0	11147.64	1174.0			3633.75	834.0	8327.50	1055.0				22	4	2017	2017-04-22
8065.97	915.0	8963.62	907.0			2421.21	503.0	7036.14	834.0				23	4	2017	2017-04-23
7459.45	902.0	8850.79	955.0			2875.07	669.0	5748.18	850.0				24	4	2017	2017-04-24
8951.07	984.0	9036.22	897.0			2663.89	547.0	6378.61	765.0				25	4	2017	2017-04-25
4316.18	501.0	6019.58	677.0			2487.53	635.0	3716.44	537.0				26	4	2017	2017-04-26
4125.82	538.0	6421.55	729.0			2464.73	635.0	4740.52	678.0				27	4	2017	2017-04-27
5736.81	759.0	9474.49	1056.0			2871.11	716.0	6468.90	910.0				28	4	2017	2017-04-28
9972.66	1238.0	11242.90	1191.0			3483.07	783.0	8686.11	1102.0				29	4	2017	2017-04-29
8205.66	1025.0	9225.54	946.0			2258.93	489.0	6306.43	826.0				30	4	2017	2017-04-30
8015.64	984.0	9376.32	897.0			2183.71	522.0	6063.13	812.0				1	5	2017	2017-05-01
3693.82	475.0	5490.88	593.0			2524.99	654.0	3683.47	560.0				2	5	2017	2017-05-02
4518.33	573.0	5970.34	665.0			2726.02	653.0	4185.03	626.0				3	5	2017	2017-05-03
4952.22	569.0	6904.48	716.0			2744.50	659.0	4911.19	674.0				4	5	2017	2017-05-04
5927.08	740.0	9374.54	1015.0			2649.67	671.0	6325.80	829.0				5	5	2017	2017-05-05
9727.00	1197.0	10609.27	1092.0			3141.09	681.0	7749.72	990.0				6	5	2017	2017-05-06
8556.35	969.0	8892.07	863.0			2495.57	546.0	5989.47	773.0				7	5	2017	2017-05-07
3770.04	485.0	5907.33	636.0			2194.50	660.0	4222.67	615.0				8	5	2017	2017-05-08
4091.77	511.0	6138.22	706.0			2505.63	665.0	4247.97	655.0				9	5	2017	2017-05-09
6040.11	811.0	7620.95	755.0			2389.00	613.0	4475.11	652.0				10	5	2017	2017-05-10
5117.32	635.0	6840.94	749.0			2826.01	654.0	5663.30	707.0				11	5	2017	2017-05-11
6468.10	798.0	9159.59	1025.0			2995.47	719.0	7559.27	964.0				12	5	2017	2017-05-12
8846.70	1104.0	12518.33	1209.0			3645.61	832.0	7629.49	986.0				13	5	2017	2017-05-13
6776.48	771.0	8862.56	806.0			2265.88	508.0	6276.69	772.0				14	5	2017	2017-05-14
4471.53	558.0	6153.43	686.0			2993.44	717.0	4476.15	642.0				15	5	2017	2017-05-15
3658.06	503.0	5771.11	664.0			2637.71	656.0	4709.50	667.0				16	5	2017	2017-05-16
3550.96	466.0	6175.03	677.0			2273.99	600.0	4520.48	608.0				17	5	2017	2017-05-17
4144.00	544.0	6794.09	741.0			2472.34	661.0	5335.38	700.0				18	5	2017	2017-05-18
5458.68	663.0	8387.18	944.0			3107.52	663.0	6108.00	845.0				19	5	2017	2017-05-19
8838.36	1137.0	11702.88	1229.0			3535.41	791.0	7831.69	957.0				20	5	2017	2017-05-20
7028.25	801.0	9467.78	862.0			2558.43	553.0	6067.06	730.0				21	5	2017	2017-05-21
3682.19	472.0	5684.84	634.0			2495.91	652.0	4233.10	608.0				22	5	2017	2017-05-22
3493.89	442.0	5794.53	618.0			2294.89	606.0	5244.97	737.0				23	5	2017	2017-05-23
3740.73	472.0	7282.57	768.0			2583.13	641.0	4164.21	672.0				24	5	2017	2017-05-24
4522.96	571.0	6160.75	682.0			2166.06	581.0	5479.81	710.0				25	5	2017	2017-05-25
5416.06	652.0	9200.25	996.0			2744.14	683.0	6637.64	907.0				26	5	2017	2017-05-26
7913.69	962.0	11326.27	1168.0			3190.20	731.0	6955.86	974.0				27	5	2017	2017-05-27
5597.75	629.0	7434.79	734.0			2111.27	447.0	5378.79	681.0				28	5	2017	2017-05-28
3954.99	517.0	5717.94	650.0			2220.61	612.0	4246.54	593.0				29	5	2017	2017-05-29
3480.39	447.0	5853.88	701.0			2361.35	591.0	4246.61	637.0				30	5	2017	2017-05-30
4352.31	536.0	6448.37	702.0			2437.55	606.0	4729.40	659.0				31	5	2017	2017-05-31
