"Vendite_1","Scontrini_1","Vendite_2","Scontrini_2","Vendite_3","Scontrini_3","Vendite_4","Scontrini_4","Vendite_5","Scontrini_5","Vendite_6","Scontrini_6","Giorno","day","month","year","newdate","Scontrino_medio_1","Scontrino_medio_2","Scontrino_medio_3","Scontrino_medio_4","Scontrino_medio_5","Scontrino_medio_6","weekend","matches","Vacanze","INVERNO","PRIMAVERA","ESTATE","AUTUNNO","Eventi.televisivi","FENOMENI","temp_media","sole","precipitazioni","nebbia"
7028.25,801,9467.78,862,NA,NA,2558.43,553,6067.06,730,NA,NA,"Sunday",21,5,2017,2017-05-21,8.774344569,10.98350348,NA,4.626455696,8.311041096,NA,1,1,1,0,1,0,0,0,"",NA,1,0,0
3682.19,472,5684.84,634,NA,NA,2495.91,652,4233.1,608,NA,NA,"Monday",22,5,2017,2017-05-22,7.80125,8.966624606,NA,3.828082822,6.962335526,NA,0,1,0,0,1,0,0,0,"",23,1,0,0
3493.89,442,5794.53,618,NA,NA,2294.89,606,5244.97,737,NA,NA,"Tuesday",23,5,2017,2017-05-23,7.904728507,9.376262136,NA,3.786947195,7.116648575,NA,0,0,0,0,1,0,0,0,"",25,1,0,0
3740.73,472,7282.57,768,NA,NA,2583.13,641,4164.21,672,NA,NA,"Wednesday",24,5,2017,2017-05-24,7.925275424,9.482513021,NA,4.029843994,6.196741071,NA,0,0,0,0,1,0,0,0,"",25,1,0,0
4522.96,571,6160.75,682,NA,NA,2166.06,581,5479.81,710,NA,NA,"Thursday",25,5,2017,2017-05-25,7.921120841,9.033357771,NA,3.728158348,7.718042254,NA,0,0,0,0,1,0,0,0,"",23,1,0,0
5416.06,652,9200.25,996,NA,NA,2744.14,683,6637.64,907,NA,NA,"Friday",26,5,2017,2017-05-26,8.306840491,9.237198795,NA,4.017774524,7.318235943,NA,0,0,0,0,1,0,0,0,"",22,1,0,0
7913.69,962,11326.27,1168,NA,NA,3190.2,731,6955.86,974,NA,NA,"Saturday",27,5,2017,2017-05-27,8.226288981,9.697148973,NA,4.364158687,7.141540041,NA,1,1,1,0,1,0,0,0,"",NA,1,0,0
5597.75,629,7434.79,734,NA,NA,2111.27,447,5378.79,681,NA,NA,"Sunday",28,5,2017,2017-05-28,8.899443561,10.12914169,NA,4.723199105,7.898370044,NA,1,1,1,0,1,0,0,0,"",NA,1,0,0
3954.99,517,5717.94,650,NA,NA,2220.61,612,4246.54,593,NA,NA,"Monday",29,5,2017,2017-05-29,7.649883946,8.796830769,NA,3.628447712,7.161112985,NA,0,0,0,0,1,0,0,0,"",26,1,0,0
3480.39,447,5853.88,701,NA,NA,2361.35,591,4246.61,637,NA,NA,"Tuesday",30,5,2017,2017-05-30,7.786107383,8.350756063,NA,3.995516074,6.666577708,NA,0,0,0,0,1,0,0,0,"",27,1,0,0
4352.31,536,6448.37,702,NA,NA,2437.55,606,4729.4,659,NA,NA,"Wednesday",31,5,2017,2017-05-31,8.119981343,9.185712251,NA,4.022359736,7.176631259,NA,0,0,0,0,1,0,0,0,"",26,1,0,0
5516.98,654,7835.19,774,NA,NA,2893.54,668,6158.7,825,NA,NA,"Thursday",1,6,2017,2017-06-01,8.435749235,10.1229845,NA,4.331646707,7.465090909,NA,0,0,0,0,1,0,0,0,"",26,1,0,0
7138.98,856,8847.63,916,NA,NA,2248.25,532,5885.84,784,NA,NA,"Friday",2,6,2017,2017-06-02,8.339929907,9.658984716,NA,4.226033835,7.50744898,NA,0,0,1,0,1,0,0,0,"",NA,1,0,0
7260.38,910,8853.05,927,NA,NA,2957.13,672,5919.32,868,NA,NA,"Saturday",3,6,2017,2017-06-03,7.97843956,9.55021575,NA,4.400491071,6.819493088,NA,1,1,1,0,1,0,0,0,"",NA,1,0,0
7938.67,875,7632.36,751,NA,NA,2130.92,458,5643.61,744,NA,NA,"Sunday",4,6,2017,2017-06-04,9.072765714,10.16292943,NA,4.652663755,7.585497312,NA,1,0,1,0,1,0,0,0,"",NA,1,0,0
4248.1,591,5965.4,639,NA,NA,2504.63,645,4253.92,625,NA,NA,"Monday",5,6,2017,2017-06-05,7.187986464,9.335524257,NA,3.883147287,6.806272,NA,0,0,0,0,1,0,0,0,"precipitazioni",23,0,1,0
3936.62,536,6079.47,666,NA,NA,2197.14,557,4380.06,663,NA,NA,"Tuesday",6,6,2017,2017-06-06,7.344440299,9.128333333,NA,3.94459605,6.606425339,NA,0,0,0,0,1,0,0,0,"",23,1,0,0
4576.46,612,6683.41,713,NA,NA,3491.43,754,4750.84,661,NA,NA,"Wednesday",7,6,2017,2017-06-07,7.477875817,9.373646564,NA,4.630543767,7.187352496,NA,0,0,1,0,1,0,0,0,"",23,1,0,0
5968.08,839,6528.01,743,NA,NA,2262.51,541,6339.41,894,NA,NA,"Thursday",8,6,2017,2017-06-08,7.113325387,8.786016151,NA,4.182088725,7.09106264,NA,0,0,1,0,1,0,0,0,"",21,1,0,0
5396.48,712,8391.68,943,NA,NA,2603.35,596,6297.25,861,NA,NA,"Friday",9,6,2017,2017-06-09,7.579325843,8.898918346,NA,4.368036913,7.31387921,NA,0,0,1,0,1,0,0,0,"",23,1,0,0
8614.19,1086,8365.82,934,NA,NA,3042.53,664,6668.31,893,NA,NA,"Saturday",10,6,2017,2017-06-10,7.932034991,8.956980728,NA,4.582123494,7.46731243,NA,1,0,1,0,1,0,0,0,"",NA,1,0,0
6248.54,764,6983.3,713,NA,NA,2194.99,490,5241.31,661,NA,NA,"Sunday",11,6,2017,2017-06-11,8.178717277,9.794249649,NA,4.479571429,7.929364599,NA,1,0,1,0,1,0,0,0,"",NA,1,0,0
3920.98,526,4616.16,549,NA,NA,2355.05,565,4634.8,678,NA,NA,"Monday",12,6,2017,2017-06-12,7.454334601,8.408306011,NA,4.168230088,6.835988201,NA,0,0,1,0,1,0,0,0,"",28,1,0,0
